Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada;Dati della strada
id strada;id lrs;codice servizio;denominazione;progressiva di inizio strada;progressiva di fine strada;localita di inizio strada;localita di fine strada;TIPO
114;30008600;SP 86;di Rabbi;0;11,95;Bivio S.P n.201 di Malè;Rabbi Plan;C
115;30008601;SP 86 dir Piazzola;di Rabbi diramazione Piazzola;0;3,257;;;C
117;30008700;SP 87;di Pejo;0;11,59;Fucine;Peio;C
116;30008701;SP 87 dir Comasine;di Pejo diramazione Comasine;0;1,11;;;C
118;30008702;SP 87 dir Celentino;di Pejo diramazione Celentino;0;2,58;;;C
119;30008800;SP 88;della Val di Gresta;0;21,185;Loppio (bivio S.S. 240 km 9,000);Croce di Castellano (bivio S.P. 20 KM 9,550);C
120;30008900;SP 89;Sinistra Leno;1,403;20,625;Rovereto;loc. Ometto fine Strada;C
121;30008901;SP 89 dir Miravalle;Sinistra Leno diramazione Miravalle;0;0,9;S.P. 89 km 2,045;Campana dei Caduti fine strada;C
122;30008902;SP 89 dir Anghebeni;Sinistra Leno diramazione Anghebeni;0;3,486;località Aste km 14,880 della S.P. 89;località Anghebeni km 56,930 SS. 46 del Pasubio;C
123;30009000;SP 90 1°tronco;Destra Adige 1° tronco (confine VR - Mori);0;20,863;Mama d'Avio confine Provincia di Verona;Centro abitato Mori;C
124;30009001;SP 90 1°tronco dir Borghetto;Destra Adige 1° tronco diramazione Borghetto;0,565;2,086;ponte sull'Adige confine Provincia di Verona;S.S. 12 km 326,400;C
125;30009002;SP 90 1°tronco dir Ala;Destra Adige 1° tronco diramazione Ala;0;0,63;;;C
126;30009003;SP 90 2°tronco;Destra Adige 2° tronco (Mori - Ravina);0;25,423;Ravazzone (bivio S.S. 240 km 3,350);Ravina;C
127;30009004;SP 90 dir Rovereto;Destra Adige 2° tronco diramazione Rovereto;0;1,265;Cornalé (bivio S.P. 90 km 2,355);ponte f. Adige Borgo Sacco (sinistra orografica);C
128;30009005;SP 90 dir SS 12;Destra Adige 2° tronco diramazione Sant Ilario;0;0,508;Villa Lagarina (bivio S.P. 90 Km 6,745);ponte f. Adige S.Ilario (sinistra orografica);C
