NOME;TIPO;STRADA;KM;INDIRIZZO;LOCALITA;SERVIZI DISPONIBILI;CODICE ISTAT LOCALITA;LINK PORTALE
ENI;;SP 90  Km ;1,0;RAVINA VIA DEL PONTE 29;TRENTO;autoshop/lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;---;0,5;VIA MACCANI 157;TRENTO;autoshop/bar/lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;Benzina super senza piombo/Benzina super senza piombo a 98 ottani/Gasolio ad alte prestazioni/Gasolio tradizionale/;---;0,5;TANGENZIALE SUD 4/6;TRENTO;autoshop/bar-ristorante/lavaggio/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ENI;;SS 45bis  Km 146+010;4,0;VIGOLO BASELGA VIA 3 NOVEMBRE 75;TRENTO;autoshop/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;Benzina super senza piombo/Gasolio ad alte prestazioni/Gasolio tradizionale/Gpl/;S.S. 12,  Km. 342+740;5,0;FRAZ. SERRAVALLE SS.12 KM. 342+740;ALA;lavaggio/officina/;022001;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SP 109  Km 5+190;0,7;VIA ROMA 25;BORGO VALSUGANA;bar/lavaggio/;022022;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 47  Km 93+869;4,0;VARIANTE DI BORGO VALSUGANA;CASTELNUOVO;bar/parcheggio/;022049;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 238  Km 0+521;0,5;VIA PALADE 49;FONDO;autoshop/bar/;022088;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 47  Km 77+225;14,4;LOC. TEZZE, VIA MASETTO VECCHIO 57/B;GRIGNO;autoshop/bar-ristorante/parcheggio/;022095;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 12  Km 388+005;1,0;SS 12 KM.  388+005;LAVIS;bar/lavaggio/parcheggio/;022103;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
LORO;Benzina super senza piombo/Gasolio ad alte prestazioni/Gasolio tradizionale/;SP 1 Km 9 + 259;0,5;VIA CLAUDIA AUGUSTA 29;LEVICO TERME;bar/lavaggio/;022104;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 43  Km 26+085;0,1;VIA IV NOVEMBRE 52;MEZZOLOMBARDO;autoshop/lavaggio/;022117;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 48  Km 45+998;0,5;STRADA DE LA COMUNITà DE FIEM 37;MOENA - MOENA;autoshop/lavaggio/parcheggio/;022118;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 47  Km 117+425;3,0;SS. 47 AREA OVEST;PERGINE VALSUGANA;bar/lavaggio/officina/parcheggio/;022139;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 47  Km 117+360;3,3;SS. 47 AREA EST;PERGINE VALSUGANA;bar/lavaggio/officina/parcheggio/;022139;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;---;0,5;VIA BENACENSE  ;ROVERETO;autoshop/parcheggio/;022161;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 237  Km 59+225;2,0;VIA DI VILL 94;STORO;autoshop/officina/;022183;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 50  Km 71+700;1,2;VIALE PIAVE 32;PRIMIERO SAN MARTINO DI CASTROZZA;lavaggio/officina/;022245;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 12  Km 370+668;0,8;MATTARELLO VIA NAZIONALE 136;TRENTO;autoshop/lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 12  KM. 383+797;1,1;GARDOLO LATO OVEST SS 12  KM. 383+797;TRENTO;lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;---;0,1;VIA MANZONI 4;TRENTO;autoshop/lavaggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
ESSO;;SS 12  Km ;0,5;VIA ROBERTO SANSEVERINO 155;TRENTO;autoshop/lavaggio/parcheggio/;022205;https://carburanti.mise.gov.it/OssPrezziSearch/ricerca
