,@id,latitude,longitude,name,brand,operator,fuel:diesel,fuel:lpg,fuel:cng,address
72,333690832,46.3696864,11.033746,Q8,,Punto Grill Services S.R.L.,,,,"Q8, Via Guglielmo Marconi, Pez, Cles, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38023, Italia"
73,333690834,46.358361200000004,10.9194105,Agip,Agip Eni,G.S. Ristoauto Sas di Iori Gianni & C. in Sigla G.S. Ristoauto Sas,,,,"Agip, SP125, Tovare, Terzolas, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 3827, Italia"
74,333696237,46.388426,10.861792800000002,IP,Api-Ip,Cicolini Patrizia,,,,"IP, SP86, Rabbi, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38020, Italia"
75,333789950,46.3225666,10.8480121,Repsol,Repsol,Zappini Piera,,,,"Repsol, SS42, Commezzadura, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38025, Italia"
76,334821912,46.3376744,10.8954965,Eni,Agip Eni,Valentinelli Lorenzo,yes,yes,,"Eni, Via Nazionale, Dimaro Folgarida, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38027, Italia"
77,338894270,46.14532,11.7856361,Q8,Q8,Masi Sas di Micheli Giovanna e C.,,,,"Q8, SS50, Gusellini, Imer, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, Italia"
78,338894272,46.1723792,11.826037800000002,Esso,Esso,Er S.N.C. di Orler Ariano e Cosner A.,,,,"Esso, Viale Piave, Pieve, Fiera di Primiero, Primiero San Martino di Castrozza, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, 38054, Italia"
79,363592367,46.2657857,11.0607509,Q8,Q8,Covi Nicola,,yes,,"Q8, Strada Statale della Val di Non, Denno, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38010, Italia"
80,387882001,46.2123616,11.1232287,,Agip Eni,Meneguot Giorgio,,,,"Agip Eni, Corso 4 Novembre, Mezzocorona, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
81,388418756,46.2069701,11.127614900000001,,Q8,Distributore Da Greg di Lamusta Gregorio,,,,"Q8, Piazza Trento, Mezzocorona, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
82,392851069,46.2037641,11.119039,,,Scari S.R.L.,yes,yes,yes,"Scari S.R.L., Strada Statale della Val di Non, Grumino, Maso Betta, San Michele all'Adige, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38016, Italia"
83,414978809,46.3441852,10.7008574,IP,Api-Ip,Distributore Ip di Paternoster Michele,,,,"IP, Via Róge, Ossana, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38026, Italia"
84,415121022,46.338723200000004,10.7065796,,Q8,Gioinvest S.R.L.,,,,"Q8, Via Róge, Ossana, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38026, Italia"
85,415898492,46.268196100000004,11.036287,,Tamoil,Callovi Gianfranco & C. S.N.C.,,,,"Tamoil, Via Principale, Denno, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38019, Italia"
86,419251327,45.88755220000001,11.0590295,Q8 Michelini,Firmin,Michelini Gianfranco,,,,"Q8 Michelini, Viale dei Colli, Campolongo, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
87,427524200,46.03738870000001,10.8760355,Agip,,,,,,"Agip, Via C. Battisti, Comano Terme, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38077, Italia"
88,430548247,46.0022596,11.199944,Total,Total Erg,Zamboni Gianfranco,,,,"Total, Via della Fricca, Maso Stauderi, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38034, Italia"
89,454560604,46.1623322,10.7657244,,Agip Eni,Bonapace Piera,,,,"Agip Eni, Via N. Bolognini, Pinzolo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38086, Italia"
90,454562174,46.1542355,10.7662849,,Tamoil,Frizzi Adolfo,,,,"Tamoil, Viale Dolomiti, Giustino, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38080, Italia"
91,480010342,46.0649368,11.2465507,Costantin,Tamoil,Gianni Filippi & C. S.N.C.,,,,"Costantin, SP8, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
92,491402658,45.88525870000001,10.847754,Agip,Agip Eni,Di Palma Petroli S.N.C. di Angelo e Giuseppe di Palma,,,,"Agip, Viale Giosuè Carducci, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
93,491402695,45.8808094,10.8551506,Q8,Q8,Servizi & Gestioni Italia S.R.L.,,,,"Q8, Viale Rovereto, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38066, Italia"
94,497089314,46.005769799999996,11.2413397,IP,Api-Ip,Officina Giacomini S.N.C. di Giacomini Benito & C. in Sigla Offi- Cina Giacomini S.N.C.,,,,"IP, Strada Provinciale del Lago di Caldonazzo, Calceranica al Lago, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38049, Italia"
95,514889051,45.9064013,10.866292199999998,IP,Api-Ip,Ip Services S.R.L.,,,,"IP, Via Santa Caterina, Riva del Garda, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
96,520633602,46.176630700000004,11.223679400000002,,,Gottardi Romano e F.lli Snc,,,,"Gottardi Romano e F.lli Snc, Viale 4 novembre, Cembra Lisignago, Comunità della Valle di Cembra, Trento, Trentino-Alto Adige/Südtirol, 38047, Italia"
97,600591686,46.341888299999994,10.903399499999999,Tamoil,Tamoil,Albakos di Tasholli Shpend,,,,"Tamoil, SS42, Croviana, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38027, Italia"
98,622616378,46.311374900000004,10.759205099999999,Cristoforetti,,,yes,,,"Cristoforetti, Via Nazionale, Ponte, Pellizzano, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, 38026, Italia"
99,663184958,46.0879612,11.184199699999999,,Agip Eni,Fronza Andrea e C. S.N.C.,,,,"Agip Eni, Strada alla Fersina, Civezzano, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38045, Italia"
