@id,@lat,@lon,name,place,destination,ele,direction_northeast,hiking,direction_south,direction_northwest,direction_southeast,hiking,ref,direction_north,source,horse,foot,bicycle
456788167,46.1591529,10.9540232,,,Passo Lasteri (2.40); Passo Clamer (3.00); 352: Cima Croz Altissimo; Cima Lasteri; Passo Clamer; 352b: Bocchetta Piz Galin (2.45); Rif. Montanara (0.10); 340b: Rif. Croz dell'Altissimo (1.00),,,,,,,,,,,,,
458785600,45.7295366,11.1215570,,,,2097,,yes,,,,yes,,,,,,
458785602,45.7254407,11.1287451,,,,,,yes,,,,yes,,,,,,
458854200,45.7372578,11.1035600,,,,,,yes,,,,yes,,,,,,
458854265,45.7431571,11.1008240,,,,,,,,,,,,,,,,
458872986,45.7973852,11.0694736,,,,,,,,,,,,,,,,
459478528,46.1787192,10.9322571,,,,,,,,,,,,,,,,
459478607,46.1608839,10.9476032,,,,,,,,,,,,,,,,
459518670,46.1550943,10.9684051,,,,,,,,,,,,,,,,
459656323,46.1515310,10.9718946,,,,,,,,,,,,,,,,
459656388,46.1485480,10.9696184,,,Baita Brugnol; Rif. Pradel; Rif. Montanara; Andalo; Molveno; Sentiero Frassati; Pra del Piof; 352: Valbiole; La Fontanella; Bocchetta del Piz Galin,,,yes,,,,yes,,,,,,
459656390,46.1495970,10.9713883,,,,,,,,,,,,,,,,
459656394,46.1460557,10.9678687,,,Rif. Pradel (1.30); Rif. Montanara (2.00); Cima Croz Altissimo (4.00); Andalo (1.10); Molveno (0.15) Nembia (2.00); Deggia (3.00); Sentiero Frassati; 352: Valbiole (0.45); La Fontanella (1.20); Bocchetta del Piz Galin (3.30),,,yes,,,,yes,,,,,,
459676545,46.1933627,10.9478603,,,,,,yes,,,,yes,,,,,,
459676611,46.2649619,10.9543089,,,,,,,,,,,,,,,,
459934191,46.2512392,10.9504636,,,,,,,,,,,,,,,,
459934198,46.2564560,10.9541197,,,,,,,,,,,,,,,,
459934200,46.2496879,10.9553098,,,,,,,,,,,,,,,,
459935671,46.2421776,10.9416626,,,,,,,,,,,,,,,,
459936191,46.2247501,10.9311704,,,,,,,,,,,,,,,,
459936247,46.2355923,10.9223621,,,,,,yes,,,,yes,,,,,,
459964942,46.2557080,10.9253364,,,,,,,,,,,,,,,,
459964982,46.2587761,10.9330992,Pian dela Fontanela,,,,,,,,,,,,,,,
459965108,46.2628564,10.9540350,,,,,,,,,,,,,,,,
459965231,46.2432479,10.9186042,,,,,,,,,,,,,,,,
459965235,46.2639645,10.9475772,,,,,,,,,,,,,,,,
463186455,46.2553199,10.9528089,,,,,,,,,,,,,,,,
466182473,46.1539475,10.7913942,,,MTB 973; MTB 971,,,,,,,,,,,,,
469206786,46.0537546,11.1698408,,,,,,,,,,,,,,,,
469206788,46.0520458,11.1709377,,,,,,,,,,,,,,,,
469206795,46.0417211,11.1817069,,,Stoi dei Chegui 0:40;Castelet 0:30;Borino 1:20,,,,,,,,,,,,,
469206796,46.0484002,11.1832831,,,Stoi dei Chegui 0:05;Malga Nova 0:40;Rifugio 1:00;Fontana dei Gai 0:15;Castelet 0:50;Borino 1:40,,,,,,,,,,,,,
469206797,46.0499974,11.1849680,Stoi de Chegul,,Doss dei Corvi 0:20;Sella della Marzola 1:10;Bivacco Raffaele Bailoni 1:40;Prà de Stelar 0:40;Borino 1:40;Fontana dei Gai 1:00;Borino 1:50,1330,,,,,,,,,,,,
469206799,46.0509090,11.1844897,,,Doss dei Corvi;Sella della Marzola;Bivacco Raffaele Bailoni;Spiaz de le Patate;Prà de Stelar;Borino,,,,,,,,,,,,,
470233449,45.8296373,10.5313083,,,,,,yes,,,,yes,,,,,,
471948773,46.1420941,11.5522491,Laghi Val del'Inferno,,,1958,,yes,,,,yes,,,,,,
474779069,46.0444753,11.0337512,,,,,,,,,,,,,,,,
474779070,46.0449786,11.0342296,,,,,,,,,,,,,,,,
474779072,46.0451898,11.0341364,,,,,,,,,,,,,,,,
474779074,46.0417968,11.0373310,,,,,,,,,,,,,,,,
474779077,46.0437181,11.0390075,,,,,,,,,,,,,,,,
474779079,46.0437716,11.0385694,,,,,,,,,,,,,,,,
474779080,46.0469915,11.0430880,,,,,,,,,,,,,,,,
474779168,46.0540031,11.0410895,,,,,,,,,,,,,,,,
475853606,46.1910696,10.8888901,,,,,,yes,,,,yes,,,https://www.flickr.com/photos/125134384@N03/28510071283/in/album-72157672751304505/,,,
477375550,46.2076119,10.8665329,,,,,,yes,,,,yes,,,,,,
477988105,45.7859465,10.9074828,,,,,,,,,,,,,,,,
477988889,45.7834383,10.9071817,,,,1330,,,,,,,,,,,,
479797683,46.1810648,11.2654875,,,,,,,,,,,,,,,,
479797697,46.1812720,11.2699726,,,,,,,,,,,,,,,,
479797700,46.1816171,11.2704783,,,,,,,,,,,,,,,,
479797706,46.1822648,11.2719982,,,,,,,,,,,,,,,,
480691240,46.4592082,11.6320631,,,,,,,,,,,,,,,,
482848726,46.4445201,11.6224462,,,,,,,,,,,,,,,,
482852821,46.4378881,11.6294943,,,,,,,,,,,,,,,,
482852842,46.4310810,11.6426170,,,,,,,,,,,,,,,,
482852898,46.4301472,11.6439617,,,,,,,,,,,,,,,,
482857778,46.4809360,11.6725960,,,,,,,,,,,,,,,,
487104338,46.4331816,11.6642881,,,,,,,,,,,,,,,,
489869123,45.8351190,10.8599285,,,,,,yes,,,,yes,,,,,,
497658717,46.4199502,11.6306894,Vael,,,2280,,,,,,,,,,,,
511138876,45.8820020,10.8337262,,,,,,yes,,,,yes,,,,,,
511138879,45.8835136,10.8332099,,,,,,yes,,,,yes,,,,,,
511214949,45.8633277,10.7937270,,,,,,yes,,,,yes,,,,,,
512729371,45.8484078,10.8222683,,,,,,yes,,,,yes,,,,,,
529071031,46.1589084,11.0718670,Zambana Vecchia,,Molinel 0:40;Santel-Fai della Paganella 2:30;Baita Campedel 4:00;Pra della Begola;Lago di Lamar,215,,yes,,,,yes,,,,,,
530554834,45.9324671,10.8765838,,,,,,,,,,,,,,,,
530554840,45.9514688,10.8870933,,,,,,,,,,,,,,,,
530827763,45.7363297,11.1773183,,,,,,,,,,,,,,,,
533547674,45.8727564,10.9094352,,,,,,,,,,,,,,,,
540427501,45.9231689,10.6990450,Malga Vies,,,1556,,,,,,,,,,,,
540590096,45.9316134,10.6923911,,,,,,,,,,,,,,,,
540590404,45.9387093,10.6984605,,,,,,,,,,,,,,,,
550411690,45.8010504,10.5361065,,,,,,,,,,,,,,,,
550411691,45.8102818,10.5835494,,,,,,,,,,,,,,,,
550411694,45.8072575,10.5886196,,,,,,,,,,,,,,,,
550411713,45.8045117,10.6389873,Bocca di Campei,,,1822,,,,,,,,,,,,
559196723,46.2443460,11.8540195,,,,,,yes,,,,yes,715; 739,,,,,
559198050,46.2641985,11.8072254,,,,,,,,,,,,,,,,
559204149,46.2546556,11.8158875,,,,,,,,,,,,,,,,
559204219,46.2635170,11.8083090,,,,,,,,,,,,,,,,
559393758,46.1052735,10.8875591,,,,,,yes,,,,yes,,,,,,
559393759,46.1142208,10.8824651,,,,,,yes,,,,yes,,,,,,
559393760,46.1136451,10.8788587,,,,,,yes,,,,yes,,,,,,
559393761,46.1245125,10.8796762,,,,,,yes,,,,yes,,,,,,
559393762,46.1302147,10.8800488,,,,,,yes,,,,yes,,,,,,
559393763,46.1297029,10.8798309,,,,,,yes,,,,yes,,,,,,
559393767,46.0932400,10.8868558,Pont de le Scale,,,920,,yes,,,,yes,,,,,,
559403958,46.0853778,10.8881225,,,,,,yes,,,,yes,,,,,,
559403959,46.0841425,10.8900763,,,,,,yes,,,,yes,,,,,,
565160295,46.3069585,11.7452388,,,,,,yes,,,,yes,,,,,,
565160296,46.3073190,11.7462344,,,,,,yes,,,,yes,,,,,,
565160297,46.3075465,11.7468610,,,,,,yes,,,,yes,,,,,,
565160300,46.3078855,11.7470756,,,,,,yes,,,,yes,,,,,,
565160301,46.3079327,11.7471872,,,,,,yes,,,,yes,,,,,,
565160302,46.3075894,11.7488781,,,,,,yes,,,,yes,,,,,,
565160303,46.3071051,11.7495626,,,,,,yes,,,,yes,,,,,,
565160304,46.3073362,11.7527491,,,,,,yes,,,,yes,,,,,,
565160305,46.3064264,11.7542769,,,,,,yes,,,,yes,,,,,,
565160306,46.3070701,11.7549378,,,,,,yes,,,,yes,,,,,,
565160307,46.3024652,11.7575214,,,,,,yes,,,,yes,,,,,,
565160308,46.2985083,11.7569206,,,,,,yes,,,,yes,,,,,,
565160309,46.2976621,11.7461813,,,,,,yes,,,,yes,,,,,,
565160310,46.2950402,11.7486946,,,,,,yes,,,,yes,,,,,,
565160312,46.2902534,11.7538127,,,,,,yes,,,,yes,,,,,,
565160313,46.2814339,11.7616383,Passo Colbricon,,,1908,,yes,,,,yes,,,,,,
565160314,46.2807827,11.7663223,Laghi di Colbricon,,,1927,,yes,,,,yes,,,,,,
565160315,46.2957428,11.7759073,,,,,,yes,,,,yes,,,,,,
565160316,46.2974621,11.7707321,,,,,,yes,,,,yes,,,,,,
565160318,46.3108899,11.7692366,,,,,,yes,,,,yes,,,,,,
565160588,46.3076752,11.7447066,,,,,,yes,,,,yes,,,,,,
565167306,46.3113811,11.7588062,,,,,,yes,,,,yes,,,,,,
565167307,46.3096399,11.7569147,,,,,,yes,,,,yes,,,,,,
565167309,46.3087287,11.7522636,,,,,,yes,,,,yes,,,,,,
570799034,46.1051240,11.3770463,Passo del Lago,,,2213,,yes,,,,yes,,,,,,
582626414,45.8865238,10.8981798,,,,,,,,,,,,,,,,
582626418,45.8842595,10.8935587,,,,,,,,,,,,,,,,
582626420,45.8840833,10.8939936,,,,,,,,,,,,,,,,
582626598,45.8825193,10.8951217,,,,,,,,,,,,,,,,
582626601,45.8865223,10.8951160,,,,,,,,,,,,,,,,
583378526,45.9223074,10.8703896,,,,,,,,,,,,,,,,
588642650,45.8884818,10.8977217,,,,,,,,,,,,,,,,
588642912,45.8864578,10.8924323,,,,,,,,,,,,,,,,
600123627,45.9142355,10.8379367,,,,,,,,,,,,,,,,
600123665,45.9128791,10.8393615,,,,,,yes,,,,yes,,,,,,
600123747,45.9263572,10.8267995,,,,,,,,,,,,,,,,no
600123786,45.9301814,10.8261975,,,,,,yes,,,,yes,,,,,,
600123789,45.9359575,10.8205495,,,,,,yes,,,,yes,,,,,,
600123836,45.9425006,10.8216920,,,,,,yes,,,,yes,,,,,,
600123852,45.9328570,10.8382004,,,,,,yes,,,,yes,,,,,,
600123857,45.9363439,10.8359460,,,,,,yes,,,,yes,,,,,,
