Concessionario;Codice impianto;Nome impianto;Tariffa (Euro);Apertura Dal Giorno;Apertura Al Giorno;Orario dalle ore ;Orario alle ore ;Variazioni e note
Soc. Paganella 2001;C082e;Andalo - Doss Pel‡;7,5;22/11/2014;30/01/2015;08:30;16:30;
Soc. Fun. Pinzolo;C083h;Puza dai FÚ - Monte Grual;3,5;28/11/2014;26/04/2015;08:30;17:00;
Soc. Impianti Maso;C084l;Costa - Moreta;3,5;29/11/2014;19/04/2015;08:30;17:00;
Soc. Catinaccio Impianti a Fune;C086m;Passo San Pellegrino - Costabella;4,5;05/12/2014;24/01/2015;08:30;16:15;
Soc. Catinaccio Impianti a Fune;C086m;Passo San Pellegrino - Costabella;4,5;25/01/2015;06/04/2015;08:30;16:45;
Soc. Carosello Tonale;C087g;Malga Valbiolo - Cima Tonale;3;25/10/2014;30/04/2015;08:30;16:30;
Soc. Fun. Seggiovie S.Martino;C088b;Malga Tognola - Rododendro;3,5;01/12/2014;12/04/2015;08:00;17:00;
Soc. Fun. Madonna di Campiglio;C089h;Zeledria - Pradalago;3,2;16/11/2014;30/04/2015;08:30;17:30;
Soc. Fun. Folgarida Marilleva;C090g;AlbarË - Copai;3,6;29/11/2014;12/04/2015;08:30;16:40;
Soc. Fun. Folgarida Marilleva;C091g;Daolasa - Malghetto di Mastellina;6,8;29/11/2014;12/04/2015;08:30;16:40
Soc. Fun. Folgarida Marilleva;C092g;Malghetto di Mastellina - Bassetta del Vigo;7,9;29/11/2014;12/04/2015;08:30;16:40
Soc. Valle Bianca;C093e;Doss Leon - Passo Sant'Antonio;3,8;22/11/2014;31/01/2015;08:30;16:00
Soc. Valle Bianca;C093e;Doss Leon - Passo Sant'Antonio;3,8;01/02/2015;30/03/2015;08:30;16:30
Soc. Valle Bianca;C093e;Doss Leon - Passo Sant'Antonio;3,8;01/04/2015;06/04/2015;08:30;16:00
Soc. Impianti Funiviari Lusia;C094m;Ronchi - Valbona;5,5;29/11/2014;12/04/2015;08:30;16:30
Soc. Impianti Funiviari Lusia;C095m;Valbona - Le Cune;5,5;29/11/2014;12/04/2015;08:30;16:30
Soc. Fun. Madonna di Campiglio;C096h;Madonna di Campiglio - Pancugolo;6,2;16/11/2014;30/04/2015;08:30;17:30
Soc. Fun. Madonna di Campiglio;C096h;Madonna di Campiglio - Pancugolo;6,2;01/06/2015;30/09/2015;08:30;17:30
S.I.T.C.;C097m;ToË - Col dei Rossi;5,5;05/12/2014;31/01/2015;08:45;16:40
S.I.T.C.;C097m;ToË - Col dei Rossi;5,5;01/02/2015;12/04/2015;08:45;17:10
Soc. Carosello Ski Folgaria;C098l;Fondo Piccolo - Plaut;3,5;29/11/2014;19/04/2015;08:30;17:00
Soc. Latemar Carezza ;C099m;Costalunga - Latemar;3,7;29/11/2014;13/02/2015;08:30;16:35
Soc. Latemar Carezza ;C099m;Costalunga - Latemar;3,7;14/02/2015;06/04/2015;08:30;16:50
Soc. Fun. Pinzolo;C100h;Puza dai FÚ - Plaza;2;28/11/2014;26/04/2015;08:00;17:00
Soc. Fun. Pinzolo;C101h;Plaza - Colarin;2;28/11/2014;26/04/2015;08:00;18:00
Soc. Fun. Pinzolo;C101h;Plaza - Colarin;2;30/05/2015;20/09/2015;08:30;18:00;
Soc. Fun. Pinzolo;C102h;Colarin - Patascoss;2;28/11/2014;26/04/2015;08:00;18:00;
Soc. Fun. Pinzolo;C102h;Colarin - Patascoss;2;30/05/2015;20/09/2015;08:30;18:00;
Soc. Fun. Pinzolo;C103h;Tulot - Malga Cioca;7;28/11/2014;26/04/2015;08:30;17:00;
Soc. Carosello Ski Folgaria;C104l;Malga Piovernetta - Termental;3,5;29/11/2014;19/04/2015;08:30;17:00;
Soc. Carosello Ski Folgaria;C105l;Malga Piovernetta - Monte Pioverna;3,5;29/11/2014;19/04/2015;08:30;17:00;
Soc. Fun. Madonna di Campiglio;C110h;Malga Boch - Monte Spinale;2,9;16/11/2014;30/04/2015;08:30;17:30;
Soc. Fun. Molveno Pradel;C111e;Molveno - Pradel;5,2;24/12/2014;06/01/2014;08:30;16:15;
Soc. Trento Funivie;C112e;Cordela - Montesel;3,8;29/11/2014;07/04/2015;08:45;16:45;
Soc. Trento Funivie;C112e;Cordela - Montesel;3,8;29/11/2014;07/04/2015;20:00;22:30;solo i giorni di giovedi - sabato
Soc. Fun. Folgarida Marilleva;C114g;Bassetta - M.te Vigo;3,5;29/11/2014;12/04/2015;08:30;16:30;
Soc. Carosello Ski Folgaria;M002l;Francolini - Sommo Alto;4;29/11/2014;19/04/2015;08:30;17:00;
Soc. Fun. Folgarida Marilleva;M009g;Brenzi -Spolverino;3,4;29/11/2014;12/04/2015;08:30;16:30;
Soc. Valle Bianca;M011e;Laghet - Doss;1,9;22/11/2014;06/04/2015;08:30;16:30;
Soc. Fun. Folgarida Marilleva;M012g;Malghet Haut - Campi scuola;2,1;29/11/2014;12/04/2015;08:30;16:30;
Soc. Carosello Tonale;M016g;Paradiso - Presena;3,3;25/10/2014;30/04/2015;08:30;16:00;
Soc. Fun. Madonna di Campiglio;M018h;M.ga Montagnoli - M.te Spinale;3,9;16/11/2014;30/04/2015;08:30;17:30;
